Examination,Date,Question,Question Type,Standard,Cluster,Domain,Link to Question,Percent Points Earned,Standard.Cluster,Cluster Text
Algebra I,January 2017,33,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1g-rS9_hdcPltW3_sV5jZj1r6nUVub6QULAXy1Z3pvDs/edit?usp=sharing,0.18,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2014,36,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1B2Td_SeZfmce4G1ObfLKB3xIOuAc3W5VXe3xc789E-k/edit?usp=sharing,0.33,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2017,31,CR,F-IF,B,Interpreting Functions,https://docs.google.com/document/d/1PLNLg6_ET7LcU-rxpyMGpIY8fZGLE94tLOR6DhEs4mQ/edit?usp=sharing,0.09,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,January 2016,32,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/a/newvisions.org/document/d/1X9S93c3sKUP-WBVHu4BhEEgNoSp_zM2trDgKU4dy188/edit?usp=drivesdk,0.28,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,August 2014,36,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1eFkHrFIs273Vr8bTeW6Y5M70txhX2ajNjCY_IRST0qU/edit?usp=drivesdk,0.02,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2014,35,CR,F-BF,A,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1UuznZJuDZmuWqgGVcnxC2MiPsZAIIfzYQLeqdtYBen8/edit?usp=sharing,0.23,F-BF.A, Build A Function That Models A Relationship Between Two Quantities
Algebra I,June 2015,29,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1mjbcmfb2RafI1zcWoqcX4cly3KFUVjuKq-M8NQfuBHo/edit?usp=drivesdk,0.21,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2017,27,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1VeqosqyCa9KdBFeEcrUD4aO2yKxQ_AJGvfLUBxGbDMc/edit?usp=sharing,0.19,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2018,29,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/document/d/1RCpLkiM0TPB43_5ycxGsaN33eNX_22f2Bw44765ueDw/edit?usp=drivesdk,0.21,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,January 2016,35,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/17qqmsoOxPv-Ly35TxFRE4NJGOnkjLT-qS3g2EMlzbgg/edit?usp=drivesdk,0.03,S-ID.C, Interpret Linear Models
Algebra I,June 2018,27,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1vqsogAlTLDJoy-fdhLDRi7zqWUXju-GXZ6soc1s2iKA/edit?usp=drivesdk,0.10,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,August 2014,34,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1msDyGss9dsrBKPQvuZGN3Zcc_JApA7DYblayJyMNwI0/edit?usp=drivesdk,0.05,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,August 2015,35,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1Uv5qfUNATwvz_bTGXJTpGEU2Y2g8XaVDJFtWpPAAKB8/edit?usp=drivesdk,0.05,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2016,29,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1Vh8dZ8Qe3WI_lWJY-dyux9vltt4kGUPgAR3YD9aslms/edit?usp=drivesdk,0.39,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2014,33,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/100YBH3VzFXhQfa52KGA7c6jHK6RskWr7nviqzGHHA3I/edit?usp=sharing,0.09,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2015,32,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/133P-K0K41J0lbQfmHg5ymUzVHD1CQaMolKsjPOOI1p0/edit?usp=drivesdk,0.13,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2017,34,CR,F-IF,B,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1JqYZIb1uzLijN9wfQ1z8eDaM6t8AXv2kAuYWSBFg1i4/edit?usp=drivesdk,0.24,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,June 2018,33,CR,F-IF,B,Interpreting Functions,https://docs.google.com/document/d/1aTVMU5PZ7IBYl0QJ0Gy3nBMg4WjOIb6W1s8aCJHH3SQ/edit?usp=drivesdk,0.15,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,August 2014,27,CR,A-REI,C,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1djYRxRF0yAyHk8TpyZzd0Pfz4Lkm55ksyW2mc5nOCXc/edit?usp=drivesdk,0.04,A-REI.C, Solve Systems Of Equations
Algebra I,August 2015,25,CR,F-BF,A,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1qmRYccReBaHoX3CFqGBTtAgjaz-jyiqCwygT1NYeBWo/edit?usp=drivesdk,0.14,F-BF.A, Build A Function That Models A Relationship Between Two Quantities
Algebra I,January 2015,32,CR,F-LE,A,"Linear, Quadratic, and Exponential Models",https://docs.google.com/a/newvisions.org/document/d/1W9jJuvO_zNcAEhvOaQbkdcu8M6FoOH0Nk6af52OlsrE/edit?usp=drivesdk,0.01,F-LE.A," Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"
Algebra I,August 2015,33,CR,F-LE,A,"Linear, Quadratic, and Exponential Models",https://docs.google.com/a/newvisions.org/document/d/1FL2PxzlXW60LEB_E3hwyi1JVe-xwYfXHy-RdkoZR2M0/edit?usp=drivesdk,0.19,F-LE.A," Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"
Algebra I,January 2017,32,CR,F-IF,A,Interpreting Functions,https://docs.google.com/document/d/1OlKF4TYjnA4ykKBLWOH9WeNO4jkuRMUuRvpeNHRjMYU/edit?usp=sharing,0.09,F-IF.A, Understand The Concept Of A Function And Use Function Notation
Algebra I,August 2015,29,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/16rBnoBjEsc-3akeNa-qXHpMVZLB8bBPYrSGR4pBqu1w/edit?usp=drivesdk,0.10,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,August 2014,35,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/12autrTwufKct6jU2QGxbh5_M86HbsHj2dRJJ104Ygwg/edit?usp=drivesdk,0.16,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,January 2017,37,CR,A-CED,A,Creating Equations,https://docs.google.com/document/d/1GwmvEa7DXVw9hEQR9LuHZlt16-nlMl9MUWNWEJoMTwE/edit?usp=sharing,0.11,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2016,27,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1FSq8i9nef_ahmqgX6RmYRL5tRRYdlNWRyBPy_n0rPGA/edit?usp=drivesdk,0.29,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2014,29,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1lMRQB-dhuWykMNlCgm9CUkVSNmXCEFbx8R21ihQap2g/edit?usp=sharing,0.47,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,January 2018,32,CR,A-APR,B,Arithmetic with Polynomials and Rational Expressions,https://docs.google.com/document/d/105TOCKsMbOIFxYa0nr7E9jrEodvxAzGxDzXZA0Hqr2M/edit?usp=drivesdk,0.15,A-APR.B, Understand The Relationship Between Zeros And Factors Of Polynomials
Algebra I,January 2018,37,CR,A-CED,A,Creating Equations,https://docs.google.com/document/d/11u61iSzprpUcbzaMucL35ToADdhBU0HlvlmEQBn5AMY/edit?usp=drivesdk,0.04,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2015,35,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1Z5Kd-HV2KcLnLRvi2qDh98jW3YmIAye_6P4Z8U8ePyM/edit?usp=drivesdk,0.14,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2015,25,CR,N-RN,B,The Real Number System,https://docs.google.com/a/newvisions.org/document/d/1x7hU1szUpUS_XmglTg_nh_GRmowzd1_EK9qsljcNuz0/edit?usp=drivesdk,0.19,N-RN.B, Use Properties Of Rational And Irrational Numbers.
Algebra I,June 2016,34,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1BQFECxLT_h5Oh0gsavSqZ-ea_qqGxs5VkYAqExcAoUU/edit?usp=drivesdk,0.17,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2018,26,CR,F-LE,A,"Linear, Quadratic, and Exponential Models",https://docs.google.com/document/d/15tUvabW-t4wMkfcVpP8PmrWYdkd7_dkwxr1fG-MKqjc/edit?usp=drivesdk,0.36,F-LE.A," Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"
Algebra I,January 2017,26,CR,N-Q,A,Quantities,https://docs.google.com/document/d/1Uj3GIxPKLiDNc3jHzSdY993jJrhrtWkiIfVUxi-83qo/edit?usp=sharing,0.13,N-Q.A, Reason Quantitatively And Use Units To Solve Problems.
Algebra I,June 2017,33,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/a/newvisions.org/document/d/1cRaRfGzgFj2pszVZtmvLDeyJjNGDiKSpy1hAlVVETso/edit?usp=drivesdk,0.24,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,June 2017,37,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1BVek4DmbHhfa6zT8rV308-UbWC8OaGdrhPP-ZneiArA/edit?usp=drivesdk,0.24,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2016,37,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1HtALBDYQHrzZfNKTez53bVMfxBNmm-Hw7QMPTexlAhA/edit?usp=drivesdk,0.09,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,January 2016,36,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1vSwEypsphqxSFtfKE33oZcuwIau41Ln1f6zXT3ubLpg/edit?usp=drivesdk,0.02,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,August 2014,25,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/a/newvisions.org/document/d/1BwwgSLbPYU0Dw6jLbcCCowVwqUER8KkjkMkxQvjRLNw/edit?usp=drivesdk,0.11,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,August 2014,30,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1tNvzAJ_iNMEYZbKreGBfNz6Jw7T_PlGiyYaXW6qGVZw/edit?usp=drivesdk,0.15,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,August 2015,26,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1IqURxZgh3B7dKBIGv2lV_sjRR1pIa8NvcT0UgRmGCmQ/edit?usp=drivesdk,0.12,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,August 2015,31,CR,F-IF,B,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1TbSbo_uNiGIlfepDPuERUu6TweypTok0ZrH8deofz0E/edit?usp=drivesdk,0.04,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,January 2017,28,CR,N-RN,B,The Real Number System,https://docs.google.com/document/d/1s5PWT_rjWjUYTQojClsSvuycAquCuvt79sjCqtVYclY/edit?usp=sharing,0.18,N-RN.B, Use Properties Of Rational And Irrational Numbers.
Algebra I,January 2017,25,CR,A-REI,C,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1qPtuO_vMJTiK_t2V9LPxNA9nLaMwtMFIfZxdtF1lJBc/edit?usp=sharing,0.13,A-REI.C, Solve Systems Of Equations
Algebra I,August 2014,28,CR,A-APR,A,Arithmetic with Polynomials and Rational Expressions,https://docs.google.com/a/newvisions.org/document/d/1HCHN2kvwaSmrjZLGbG09hXiJ95hhBbS-ZskO8tTxouQ/edit?usp=drivesdk,0.03,A-APR.A, Perform arithmetic operations on polynomials.
Algebra I,August 2015,28,CR,F-IF,B,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1CCgFHDdc1bn12retWvuhGFj4NFmuWhgfdwmtjcVFXlw/edit?usp=drivesdk,0.12,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,June 2018,28,CR,F-BF,B,Building Functions,https://docs.google.com/document/d/1bMrAdoYWwJc32ng18lrjbx9cC84usCIrsVwvcXcyW_U/edit?usp=drivesdk,0.10,F-BF.B, Build New Functions From Existing Functions
Algebra I,August 2015,30,CR,F-LE,B,"Linear, Quadratic, and Exponential Models",https://docs.google.com/a/newvisions.org/document/d/1YUqVDNnGAInD-bC1shS5CzqvkOyIYvyoZW_E2JbYkuU/edit?usp=drivesdk,0.06,F-LE.B, Interpret Expressions For Functions In Terms Of The Situation They Model
Algebra I,June 2017,36,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1zXYc9qGIyCzf1GmR8cqQShCxBRhz32Fa1lPcmPs-Dqk/edit?usp=drivesdk,0.17,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,August 2015,34,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1J9iKHapGpcqhr9NurfqAd8ZUXfLANj7E6hJqxgBK3rI/edit?usp=drivesdk,0.10,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,January 2017,29,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/18HtJeCSqf9sIeeiKU7VNCLdw7xNZhuRnRykDAZbauBM/edit?usp=sharing,0.13,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,August 2015,36,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1tR2kQQ9-1r7OKBq0bIKRR-9lqu82IcEKSB70D9j1wuM/edit?usp=drivesdk,0.02,S-ID.C, Interpret Linear Models
Algebra I,August 2014,29,CR,F-IF,C,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1sN0b60MpPVmQs2qE-OADDXhC0pD8AXBizTM7nzHnAMM/edit?usp=drivesdk,0.14,F-IF.C, Analyze Functions Using Different Representations
Algebra I,August 2014,37,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1O5L0plcfKPe48ZHhEXapdPYfZ1u0vKYwQ9fAzGPXJfA/edit?usp=drivesdk,0.04,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2015,29,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1_0cH8yZq3bMRux7ArxsRap2WDXI1Dq4HAIHsZFObZa4/edit?usp=drivesdk,0.03,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2015,33,CR,A-REI,C,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1V-B-FayDe5-K3p29WejBNUg-NBHR2EgMP0kywANImfk/edit?usp=drivesdk,0.13,A-REI.C, Solve Systems Of Equations
Algebra I,January 2018,28,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1i01y6yyUlrVhCVERSCq63OQdgsvsxx5KjxOYpnp2kD4/edit?usp=drivesdk,0.17,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2014,28,CR,F-BF,B,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1K9q34p9ZOAIejtuCKx0wxAXhHPTuTJrUi4oNP6jDzcA/edit?usp=sharing,0.01,F-BF.B, Build New Functions From Existing Functions
Algebra I,January 2018,36,CR,F-IF,B,Interpreting Functions,https://docs.google.com/document/d/1vxfZ3uqHaeAlEYaQfYjY2x9a1KWD-BhzeavqjBOn9vY/edit?usp=drivesdk,0.08,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,January 2018,33,CR,F-BF,A,Building Functions,https://docs.google.com/document/d/1GqzzvCx0aTzIUtbw1eX5sgZZaknHxBj8S6rvYvkHBAA/edit?usp=drivesdk,0.14,F-BF.A, Build A Function That Models A Relationship Between Two Quantities
Algebra I,June 2014,31,CR,A-SSE,A,Seeing Structure in Expressions,https://docs.google.com/a/newvisions.org/document/d/1b6DJYUA8u40r75Mb8DLv847bEDriVvdZQ4HjSx2xg-0/edit?usp=sharing,0.07,A-SSE.A, Interpret The Structure Of Expressions
Algebra I,January 2018,29,CR,F-IF,C,Interpreting Functions,https://docs.google.com/document/d/1PurxNsRrBXEXUjt66r5bexP1TPTeS3A2XaPePry-vuo/edit?usp=drivesdk,0.03,F-IF.C, Analyze Functions Using Different Representations
Algebra I,June 2015,27,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1Z2SEtK56Xg1xul3vWrINR8mHnXZQ5YQkTpeA19gS3Ok/edit?usp=drivesdk,0.40,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2015,25,CR,F-BF,B,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1blVYETt6AnuHTRR5iGEzyYC78Z-xsOQP6aR5ukmd8DY/edit?usp=drivesdk,0.38,F-BF.B, Build New Functions From Existing Functions
Algebra I,June 2016,25,CR,F-BF,A,Building Functions,https://docs.google.com/a/newvisions.org/document/d/11JebHkTo7FKvO6VD-DQflIfaN8XzAd7Y6NDqPreNKl0/edit?usp=drivesdk,0.28,F-BF.A, Build A Function That Models A Relationship Between Two Quantities
Algebra I,June 2016,37,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1GTsJ7AqROugZRyt9NXNaRhjumiZKQUCpro22Z8wizjU/edit?usp=drivesdk,0.26,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2016,32,CR,F-BF,B,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1RHA2T9XQOGJjmD7rgjPtf1nl1zhUmr_yhFl5RXG8KaA/edit?usp=drivesdk,0.23,F-BF.B, Build New Functions From Existing Functions
Algebra I,June 2016,31,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1RY2DnW7AVpnqPenAVJuJaNFWduyG1JZ-kn9G47-vvjo/edit?usp=drivesdk,0.17,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2017,30,CR,A-CED,A,Creating Equations,https://docs.google.com/document/d/1GKooQs7WHee_sxNEHM3f1N1EXT86aU4jOcpmo4dZ-ns/edit?usp=sharing,0.16,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2017,30,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1QtSEdZndzUhhqzNaXSZUpnMvwnkTSiaTLp85tP80qlQ/edit?usp=drivesdk,0.17,A-REI.D, Represent And Solve Equations And Inequalities Graphically
