Examination,Date,Question,Question Type,Standard,Cluster,Domain,Link to Question,Percent Points Earned,Standard.Cluster,Cluster Text
Algebra I,January 2016,25,CR,F-LE,A,"Linear, Quadratic, and Exponential Models",https://docs.google.com/a/newvisions.org/document/d/113MU8Zrnaz9SicfsnIIa61urju0Y_u7GDWobnm45gDc/edit?usp=drivesdk,0.37,F-LE.A," Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"
Algebra I,June 2017,26,CR,F-IF,C,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1nZuoWitJTVDW9hf7NzuU8OvJQReyYq-a5IOOTUixQ4Y/edit?usp=drivesdk,0.37,F-IF.C, Analyze Functions Using Different Representations
Algebra I,August 2014,31,CR,S-ID,B,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/18aSfP4YlW9grT1iruMR69Osv7qJ_UWfeyQRF30J9RuI/edit?usp=drivesdk,0.24,S-ID.B," Summarize, Represent, And Interpret Data On Two Categorical And Quantitative Variables"
Algebra I,January 2015,36,CR,F-IF,C,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1StHkfwCY0Cy3XrkzAE1t_7wEfjvUiozQI5xytvCnDRU/edit?usp=drivesdk,0.03,F-IF.C, Analyze Functions Using Different Representations
Algebra I,June 2018,32,CR,F-IF,C,Interpreting Functions,https://docs.google.com/document/d/1NI1wFkNiYngxCRSdEidYv5vchOXiK5TXArBxdaqkTsg/edit?usp=drivesdk,0.10,F-IF.C, Analyze Functions Using Different Representations
Algebra I,January 2017,34,CR,A-CED,A,Creating Equations,https://docs.google.com/document/d/1fXehlYL7aHc_-80nStJKrV3brrnJvVbWBByJH2rl_Vw/edit?usp=sharing,0.15,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2016,33,CR,F-IF,B,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1QxfYH6-CeQjRqpLnmAdX4Ib2pF95uFNgxTN3AAZIxQ0/edit?usp=drivesdk,0.06,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,January 2015,31,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1ABjNGs3Q-pLPZcZxRb1N2i2jAf7GkOdH3vRsQgaL_Y8/edit?usp=drivesdk,0.03,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2015,34,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1wNDY8oScpa30b96FxUiziBiiP60thvU_3geUMYzetnI/edit?usp=drivesdk,0.05,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,January 2015,35,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1G5z2iS0zg7ilauJEu0SelK8e_8qgkOzJCbB8ZgmLe6k/edit?usp=drivesdk,0.01,S-ID.C, Interpret Linear Models
Algebra I,January 2015,28,CR,A-APR,A,Arithmetic with Polynomials and Rational Expressions,https://docs.google.com/a/newvisions.org/document/d/1kvKA9JoLWcnb-t2D8R-PpHgyNV0JjKrdLAdLxJriXVM/edit?usp=drivesdk,0.19,A-APR.A, Perform arithmetic operations on polynomials.
Algebra I,January 2016,31,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1HB712XbRJ9aPz2YK9aobdVNLUl7ZcKuyeF3lcV4Anpg/edit?usp=drivesdk,0.02,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2018,37,CR,A-CED,A,Creating Equations,https://docs.google.com/document/d/1sOdriVrsdprZ1OmKis8MYw35opmW_o4LMdeBjds8FeQ/edit?usp=drivesdk,0.15,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2018,36,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/document/d/1CMDvVJkIlO7q3h1VfggDLbq52soxmZd2FQGkg0W9XG8/edit?usp=drivesdk,0.15,S-ID.C, Interpret Linear Models
Algebra I,June 2017,32,CR,F-BF,B,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1wBDtr_Cf_IdKly1LyYCviGyrRFQe4_6-3kvd409Av_4/edit?usp=drivesdk,0.11,F-BF.B, Build New Functions From Existing Functions
Algebra I,January 2016,28,CR,F-IF,B,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1WiPUhuu624MJdLzkfTGnfznrlsIiMrjOzRCLd07e_g0/edit?usp=drivesdk,0.32,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,August 2015,32,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1HyQspU7Y0uhLrB03Zi_59NPsRq3FcvLlwgGYIY5X_cw/edit?usp=drivesdk,0.24,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2016,27,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1WmUUmNIQjDBvbfd8lTqp90u3uUhrYvlRNDx5v4bps-0/edit?usp=drivesdk,0.06,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2016,28,CR,A-REI,A,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1c31P0_5YLtUp2OrIQlqZAVBAiY8-cwPBrRRo1xC-4TA/edit?usp=drivesdk,0.29,A-REI.A, Understand Solving Equations As A Process Of Reasoning And Explain The Reasoning
Algebra I,June 2017,29,CR,S-ID,B,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1oCe70kwlf0wdb1BtxhXQoHzjoH9QUKI39heKnCamhGU/edit?usp=drivesdk,0.29,S-ID.B," Summarize, Represent, And Interpret Data On Two Categorical And Quantitative Variables"
Algebra I,June 2017,27,CR,N-RN,B,The Real Number System,https://docs.google.com/a/newvisions.org/document/d/1Bzf4Fks9V8W0Eqmy8ssO_IWrpPpsPSsi0TeuW3iyV5Q/edit?usp=drivesdk,0.27,N-RN.B, Use Properties Of Rational And Irrational Numbers.
Algebra I,January 2015,30,CR,F-IF,C,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/195-QYKR-W5n20K_RnUr3mv6sGq1TkT9ZUIbKs4qoD4k/edit?usp=drivesdk,0.01,F-IF.C, Analyze Functions Using Different Representations
Algebra I,January 2015,33,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1_bYW35-M-46Zip73HhUM8-P3TeoJZ9TxzHQgNYIJOnk/edit?usp=drivesdk,0.13,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2016,33,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/a/newvisions.org/document/d/1-bEOvAXyX0c3bY7R1fkfiqjgCznKqBKT5-nLHGDwves/edit?usp=drivesdk,0.22,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,August 2014,32,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/15OCP6k_i4rGEnqRDj2lNURRknzOn0pN-69LnWyeO3Dk/edit?usp=drivesdk,0.01,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2018,35,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1QFDfXg-ivCVFEhYmEfVqswBQyb5VAMiSJRQvGlIDBGw/edit?usp=drivesdk,0.14,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2018,34,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1HYz7t7nqV7085TUJdcCD3SauSCYSwA124TXxHYke0ns/edit?usp=drivesdk,0.16,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2018,25,CR,F-IF,C,Interpreting Functions,https://docs.google.com/document/d/1Zk8pfUoTWIi264heXe_2iNROFcGnyY_CDVX0eU-YBM4/edit?usp=drivesdk,0.28,F-IF.C, Analyze Functions Using Different Representations
Algebra I,August 2014,33,CR,F-BF,B,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1B1XZCVPAfvqJk7Y34b5F3kM3s2WoLYYIccmJ_8jRJAo/edit?usp=drivesdk,0.09,F-BF.B, Build New Functions From Existing Functions
Algebra I,January 2016,30,CR,S-ID,B,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1edJhk91TvQyOgJIaEj0SZyLAP2QH_VHrlblGu5Mfj6Q/edit?usp=drivesdk,0.09,S-ID.B," Summarize, Represent, And Interpret Data On Two Categorical And Quantitative Variables"
Algebra I,January 2016,29,CR,F-LE,B,"Linear, Quadratic, and Exponential Models",https://docs.google.com/a/newvisions.org/document/d/1clZR5fMG9RrWnJxxSEWNuQ_avYV2zY_MvFf23Nt6Xmc/edit?usp=drivesdk,0.22,F-LE.B, Interpret Expressions For Functions In Terms Of The Situation They Model
Algebra I,June 2017,31,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/11dXLLB-2jiLBfU3tOBbH2buM6igUAVmi_GxqhvGnQc4/edit?usp=drivesdk,0.17,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2017,35,CR,A-REI,A,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1fuzIuqz5Ukscpy1M5jss_a5UYtec3g2ZuLF7xJHesN0/edit?usp=drivesdk,0.05,A-REI.A, Understand Solving Equations As A Process Of Reasoning And Explain The Reasoning
Algebra I,June 2017,28,CR,F-LE,B,"Linear, Quadratic, and Exponential Models",https://docs.google.com/a/newvisions.org/document/d/1MYboqLgs2etu0AyyDirsOfhvoaMPoAnmaWBxNGAFBXs/edit?usp=drivesdk,0.15,F-LE.B, Interpret Expressions For Functions In Terms Of The Situation They Model
Algebra I,June 2016,30,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/17vd4FG245fnNZg7seMpXemth3aOi-BBDdAOi3eqOYrE/edit?usp=drivesdk,0.29,S-ID.C, Interpret Linear Models
Algebra I,January 2015,37,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1n9wsc5jZU1DHMF4niGizRrIO_6zRiFWvexjs1XGEcPs/edit?usp=drivesdk,0.01,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,August 2015,37,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/18t3a83mOt_V3yeMJAGGGujYD2xmnu7Fup9wkwRVK0lo/edit?usp=drivesdk,0.01,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2016,36,CR,F-IF,C,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/13l1l1oXjLwTpsDR49Lw8_HIoumP-sUT4NeAhMcStjVw/edit?usp=drivesdk,0.10,F-IF.C, Analyze Functions Using Different Representations
Algebra I,June 2016,35,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1hCOTwmSnfblmzast6yLCR0T-bAGLutWyK6VSlVQauJc/edit?usp=drivesdk,0.10,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,August 2014,26,CR,F-BF,A,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1apXFM9PoKCtwpQFPyyNiR88A5HSLFz0AYFZ6YcdS4Oc/edit?usp=drivesdk,0.03,F-BF.A, Build A Function That Models A Relationship Between Two Quantities
Algebra I,June 2016,26,CR,N-RN,B,The Real Number System,https://docs.google.com/a/newvisions.org/document/d/1pkTpsdVBrnFQ5ttPUqT3yTwpFhbZaPvruBiAODk--Os/edit?usp=drivesdk,0.21,N-RN.B, Use Properties Of Rational And Irrational Numbers.
Algebra I,January 2015,27,CR,F-IF,A,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1fQVCRRPSrDrt3QI2aWOXBA3lbcB7IrGkBlI8sNBVRyU/edit?usp=drivesdk,0.23,F-IF.A, Understand The Concept Of A Function And Use Function Notation
Algebra I,June 2015,34,CR,F-IF,A,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1duXnllC0hAaaqsxVkezn8sqtOVncD0DJGpxDsURYLHY/edit?usp=drivesdk,0.24,F-IF.A, Understand The Concept Of A Function And Use Function Notation
Algebra I,June 2015,37,CR,F-IF,B,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1u-Iz7ZvGV4knd0LJ95AgWgDw5NcLe988ffNJ7Yft1Eo/edit?usp=drivesdk,0.08,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,June 2015,31,CR,S-ID,B,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1LKadabmo_wHso0wiyf0a3h0kaFkIXO80L_U1zcrIiWA/edit?usp=drivesdk,0.29,S-ID.B," Summarize, Represent, And Interpret Data On Two Categorical And Quantitative Variables"
Algebra I,June 2015,30,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1fYKBIiy_tGHrTlx3dgjSYQVhxjMXtSvvv8JavqH3QFA/edit?usp=drivesdk,0.19,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,January 2017,35,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1vRSUyG5kcjf1WeAptWE4vNcxhRJtWeSDHEDS8Df0wNs/edit?usp=sharing,0.08,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,January 2018,26,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/document/d/1eHKECXQIq2UaL8zOLyiuJKRXxj5OWxGYmE4-qelC7dU/edit?usp=drivesdk,0.18,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,June 2014,32,CR,S-ID,A,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1SPJ_TJCOhYXOlIOD3a69ORQx7guJqK3zg0U_5Pr921o/edit?usp=sharing,0.18,S-ID.A," Summarize, Represent, And Interpret Data On A Single Count Or Measurement Variable"
Algebra I,January 2018,30,CR,A-CED,A,Creating Equations,https://docs.google.com/document/d/1VwlFeftp36KB0jvC5mIsLA28fjZi6PWtE-sOYRILZlk/edit?usp=drivesdk,0.06,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2014,26,CR,F-LE,B,"Linear, Quadratic, and Exponential Models",https://docs.google.com/a/newvisions.org/document/d/1np0lWSoCKgVAj_xEO1UgxyWzYGRkvKZBIWyoOBlxNVo/edit?usp=sharing,0.13,F-LE.B, Interpret Expressions For Functions In Terms Of The Situation They Model
Algebra I,January 2018,34,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/document/d/1-MBEfNznPOOC7jpeTUeingWLU5N283YR87hJ6HjdlYU/edit?usp=drivesdk,0.10,S-ID.C, Interpret Linear Models
Algebra I,June 2014,25,CR,F-IF,C,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1Ic5mqhWtslMbMSQlDfDb6xZzZDWsYYFChFNqNv-4hyc/edit?usp=sharing,0.15,F-IF.C, Analyze Functions Using Different Representations
Algebra I,January 2018,25,CR,F-IF,C,Interpreting Functions,https://docs.google.com/document/d/1Dp-C7r3JLP4-tGcSpSmES5cbfRJvc9fjDTgNh2LREjw/edit?usp=drivesdk,0.30,F-IF.C, Analyze Functions Using Different Representations
Algebra I,June 2014,27,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1seZUnlbG_SHw2R9ElyU2h4LIBMirfZpJz7h-mSxNk2k/edit?usp=sharing,0.14,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,January 2018,35,CR,A-CED,A,Creating Equations,https://docs.google.com/document/d/1uF1c-mVuwqwx2bcOQ7ztzUWCZdggP8Ls1gu08TW-K1c/edit?usp=drivesdk,0.14,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2014,34,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1ihZ62WAQ6c2pAWNPTY-N1CCQAi-JVe8y45f6CjFbbWk/edit?usp=sharing,0.02,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2018,31,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/document/d/1QVbJI7AdRx1qxwxkdzn9Yhv3wMUq4Elh6E7GlFyc-FQ/edit?usp=drivesdk,0.03,S-ID.C, Interpret Linear Models
Algebra I,January 2018,27,CR,N-Q,A,Quantities,https://docs.google.com/document/d/1BT0LJAra4YJDeRBkXScfsglMBaCN96jn3v8Hz8Q3Waw/edit?usp=drivesdk,0.11,N-Q.A, Reason Quantitatively And Use Units To Solve Problems.
Algebra I,June 2014,30,CR,F-IF,A,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1ued6RmV8-9N8Uru1V6z9W7bdelmpq2u4znA5ZHvJVcs/edit?usp=sharing,0.28,F-IF.A, Understand The Concept Of A Function And Use Function Notation
Algebra I,January 2017,36,CR,F-IF,B,Interpreting Functions,https://docs.google.com/document/d/1ayl6JXJggQZcQS_kPKK4D__5BRiLryq2vZefkyLXuUI/edit?usp=sharing,0.06,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,June 2015,28,CR,A-APR,A,Arithmetic with Polynomials and Rational Expressions,https://docs.google.com/a/newvisions.org/document/d/1NlqhbHMINgzhyuf81DAstBySJro17dA2uS8kRuT-J1o/edit?usp=drivesdk,0.22,A-APR.A, Perform arithmetic operations on polynomials.
Algebra I,June 2015,36,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1z4xyNa7YINI_EJllnzQGJQrXMK85GvkxMhw2c-r2O5g/edit?usp=drivesdk,0.15,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2015,26,CR,S-ID,B,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1oZJF9UaVgMyF_AEqUsJezNCdz2nxYWIY23ssVzbmi30/edit?usp=drivesdk,0.18,S-ID.B," Summarize, Represent, And Interpret Data On Two Categorical And Quantitative Variables"
Algebra I,June 2015,26,CR,F-BF,A,Building Functions,https://docs.google.com/a/newvisions.org/document/d/18ZVfJ42JyinEXqugP4jkFCiueANLBMmlDe1YD8hHTBg/edit?usp=drivesdk,0.56,F-BF.A, Build A Function That Models A Relationship Between Two Quantities
Algebra I,June 2014,37,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/13RjkLd1QwwCYKUgV4QgigkTGJWF7XFB7a-e-TmFFtGk/edit?usp=sharing,0.18,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2017,25,CR,A-APR,A,Arithmetic with Polynomials and Rational Expressions,https://docs.google.com/a/newvisions.org/document/d/1IyWF3YHZp5R1WkBMQGkZXd7pVU7_5Oq6bLOOh2u1RE0/edit?usp=drivesdk,0.27,A-APR.A, Perform arithmetic operations on polynomials.
Algebra I,January 2016,26,CR,F-IF,A,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1vtmx86khmKYeQCqbRgvi1WJJI52yA44Ks-MaV4uuP6I/edit?usp=drivesdk,0.20,F-IF.A, Understand The Concept Of A Function And Use Function Notation
Algebra I,June 2018,30,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1K50pzfUNfTIdwn1JXJXvVrxx4InayO8vzVeQL0kb46c/edit?usp=drivesdk,0.12,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2018,31,CR,N-RN,B,The Real Number System,https://docs.google.com/document/d/1_pvPa05pHP6BhHFGBvqDc-npsmXJU2osJRA4Ula50wE/edit?usp=drivesdk,0.16,N-RN.B, Use Properties Of Rational And Irrational Numbers.
Algebra I,January 2016,34,CR,A-REI,A,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1IexGvGw3n6GEW9kE598yZB3EdPhtA8bFjvoOxRJC4GY/edit?usp=drivesdk,0.13,A-REI.A, Understand Solving Equations As A Process Of Reasoning And Explain The Reasoning
Algebra I,August 2015,27,CR,S-ID,B,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/1yd-1T_r5Zl-3GRtEyRFXPCkk2zSmfGCjU2KsZgkn3jQ/edit?usp=drivesdk,0.26,S-ID.B," Summarize, Represent, And Interpret Data On Two Categorical And Quantitative Variables"