Examination,Date,Question Number,Question Type,Credit,Weight,Standard,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,,,,,,,,
Algebra I,August '15,21,MC,2,1,F-IF,Interpreting Functions,4,22.09%,25.21%,27.93%,24.21%,0.56%,https://docs.google.com/a/newvisions.org/document/d/16ImNaM35ZMiJwzFzRZUWlhEDfEO_wblXFnvk9ZLXdzo/edit?usp=drivesdk,24.2%,,,,,,,,
Algebra I,August '15,22,MC,2,1,N-RN,The Real Number System,2,27.38%,37.62%,19.81%,14.94%,0.25%,https://docs.google.com/a/newvisions.org/document/d/13thdsPIJrj85Uz8rG1u-T6HnlHKPMF9UzJx6xxVTIfA/edit?usp=drivesdk,37.6%,,,,,,,,
Algebra I,August '15,23,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,39.87%,21.11%,28.51%,10.13%,0.38%,https://docs.google.com/a/newvisions.org/document/d/1umALkCgMHmMbCSASeabQGnpzvNjEBBUKLBKBnn57BKs/edit?usp=drivesdk,28.5%,,,,,,,,
Algebra I,August '15,24,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,4,32.34%,22.39%,21.84%,23.07%,0.36%,https://docs.google.com/a/newvisions.org/document/d/12e1vYGGMAdZEdhYF0ZTwUEK0-N1K_xtovUcn1KN47YM/edit?usp=drivesdk,23.1%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Algebra I,June '22,1,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,2,,,,,,,,,,,,,,,
Algebra I,June '22,2,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '22,3,MC,2,1,F-BF,Building Functions,2,,,,,,,,,,,,,,,
Algebra I,June '22,4,MC,2,1,A-SSE,Seeing Structure in Expressions,4,,,,,,,,,,,,,,,
Algebra I,June '22,5,MC,2,1,A-CED,Creating Equations,3,,,,,,,,,,,,,,,
Algebra I,June '22,6,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '22,7,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",1,,,,,,,,,,,,,,,
Algebra I,June '22,8,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,,,,,,,,,,,,,,,
Algebra I,June '22,9,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,June '22,10,MC,2,1,F-IF,Interpreting Functions,3,,,,,,,,,,,,,,,
Algebra I,June '22,11,MC,2,1,A-CED,Creating Equations,1,,,,,,,,,,,,,,,
Algebra I,June '22,12,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,1,,,,,,,,,,,,,,,
Algebra I,June '22,13,MC,2,1,A-CED,Creating Equations,1,,,,,,,,,,,,,,,
Algebra I,June '22,14,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,3,,,,,,,,,,,,,,,
Algebra I,June '22,15,MC,2,1,F-IF,Interpreting Functions,3,,,,,,,,,,,,,,,
Algebra I,June '22,16,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '22,17,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,3,,,,,,,,,,,,,,,
Algebra I,June '22,18,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,,,,,,,,,,,,,,,
Algebra I,June '22,19,MC,2,1,F-IF,Interpreting Functions,3,,,,,,,,,,,,,,,
Algebra I,June '22,20,MC,2,1,A-SSE,Seeing Structure in Expressions,2,,,,,,,,,,,,,,,
Algebra I,June '22,21,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",3,,,,,,,,,,,,,,,
Algebra I,June '22,22,MC,2,1,N-Q,Quantities,1,,,,,,,,,,,,,,,
Algebra I,June '22,23,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,,,,,,,,,,,,,,,
Algebra I,June '22,24,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '21,1,MC,2,1,F-BF,Building Functions,2,,,,,,,,,,,,,,,
Algebra I,June '21,2,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,1,,,,,,,,,,,,,,,
Algebra I,June '21,3,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '21,4,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '21,5,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '21,6,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,,,,,,,,,,,,,,,
Algebra I,June '21,7,MC,2,1,A-CED,Creating Equations,2,,,,,,,,,,,,,,,
Algebra I,June '21,8,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,2,,,,,,,,,,,,,,,
Algebra I,June '21,9,MC,2,1,N-RN,The Real Number System,3,,,,,,,,,,,,,,,
Algebra I,June '21,10,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,June '21,11,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,,,,,,,,,,,,,,,
Algebra I,June '21,12,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,1,,,,,,,,,,,,,,,
Algebra I,June '21,13,MC,2,1,F-BF,Building Functions,3,,,,,,,,,,,,,,,
Algebra I,June '21,14,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,June '21,15,MC,2,1,F-IF,Interpreting Functions,1,,,,,,,,,,,,,,,
Algebra I,June '21,16,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '21,17,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",4,,,,,,,,,,,,,,,
Algebra I,June '21,18,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '21,19,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,3,,,,,,,,,,,,,,,
Algebra I,June '21,20,MC,2,1,A-REI,Reasoning with Equations and Inequalities,2,,,,,,,,,,,,,,,
Algebra I,June '21,21,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '21,22,MC,2,1,A-SSE,Seeing Structure in Expressions,4,,,,,,,,,,,,,,,
Algebra I,June '21,23,MC,2,1,N-Q,Quantities,2,,,,,,,,,,,,,,,
Algebra I,June '21,24,MC,2,1,A-REI,Reasoning with Equations and Inequalities,1,,,,,,,,,,,,,,,
Algebra I,January '20,1,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,January '20,2,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",1,,,,,,,,,,,,,,,
Algebra I,January '20,3,MC,2,1,A-REI,Reasoning with Equations and Inequalities,1,,,,,,,,,,,,,,,
Algebra I,January '20,4,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,January '20,5,MC,2,1,A-REU,,2,,,,,,,,,,,,,,,
Algebra I,January '20,6,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,January '20,7,MC,2,1,F-BF,Building Functions,4,,,,,,,,,,,,,,,
Algebra I,January '20,8,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,January '20,9,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,2,,,,,,,,,,,,,,,
Algebra I,January '20,10,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,3,,,,,,,,,,,,,,,
Algebra I,January '20,11,MC,2,1,A-REI,Reasoning with Equations and Inequalities,1,,,,,,,,,,,,,,,
Algebra I,January '20,12,MC,2,1,A-SSE,Seeing Structure in Expressions,4,,,,,,,,,,,,,,,
Algebra I,January '20,13,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,January '20,14,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",2,,,,,,,,,,,,,,,
Algebra I,January '20,15,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,,,,,,,,,,,,,,,
Algebra I,January '20,16,MC,2,1,A-SSE,Seeing Structure in Expressions,2,,,,,,,,,,,,,,,
Algebra I,January '20,17,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",3,,,,,,,,,,,,,,,
Algebra I,January '20,18,MC,2,1,F-IF,Interpreting Functions,1,,,,,,,,,,,,,,,
Algebra I,January '20,19,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,January '20,20,MC,2,1,A-REI,Reasoning with Equations and Inequalities,2,,,,,,,,,,,,,,,
Algebra I,January '20,21,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,January '20,22,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,4,,,,,,,,,,,,,,,
Algebra I,January '20,23,MC,2,1,F-IF,Interpreting Functions,1,,,,,,,,,,,,,,,
Algebra I,January '20,24,MC,2,1,A-SSE,Seeing Structure in Expressions,4,,,,,,,,,,,,,,,
Algebra I,August '19,1,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,August '19,2,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,August '19,3,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,4,,,,,,,,,,,,,,,
Algebra I,August '19,4,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,,,,,,,,,,,,,,,
Algebra I,August '19,5,MC,2,1,F-BF,Building Functions,1,,,,,,,,,,,,,,,
Algebra I,August '19,6,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,2,,,,,,,,,,,,,,,
Algebra I,August '19,7,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",2,,,,,,,,,,,,,,,
Algebra I,August '19,8,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,August '19,9,MC,2,1,N-Q,Quantities,4,,,,,,,,,,,,,,,
Algebra I,August '19,10,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,1,,,,,,,,,,,,,,,
Algebra I,August '19,11,MC,2,1,A-SSE,Seeing Structure in Expressions,1,,,,,,,,,,,,,,,
Algebra I,August '19,12,MC,2,1,A-SSE,Seeing Structure in Expressions,2,,,,,,,,,,,,,,,
Algebra I,August '19,13,MC,2,1,A-SSE,Seeing Structure in Expressions,2,,,,,,,,,,,,,,,
Algebra I,August '19,14,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,,,,,,,,,,,,,,,
Algebra I,August '19,15,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,1,,,,,,,,,,,,,,,
Algebra I,August '19,16,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,August '19,17,MC,2,1,F-IF,Interpreting Functions,3,,,,,,,,,,,,,,,
Algebra I,August '19,18,MC,2,1,F-IF,Interpreting Functions,1,,,,,,,,,,,,,,,
Algebra I,August '19,19,MC,2,1,F-IF,Interpreting Functions,1,,,,,,,,,,,,,,,
Algebra I,August '19,20,MC,2,1,F-BF,Building Functions,2,,,,,,,,,,,,,,,
Algebra I,August '19,21,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,August '19,22,MC,2,1,A-REI,Reasoning with Equations and Inequalities,1,,,,,,,,,,,,,,,
Algebra I,August '19,23,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,August '19,24,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",1,,,,,,,,,,,,,,,